16:44:22.616 [AWT-EventQueue-0] INFO  com.gsmart.GSmartGui - Lógica de negócio temporariamente desativada por padrão.
16:44:26.552 [AWT-EventQueue-0] INFO  c.gsmart.sources.ThingsBoardSource - Autenticando no ThingsBoard em http://10.8.0.5:8080...
16:44:26.808 [AWT-EventQueue-0] INFO  c.gsmart.sources.ThingsBoardSource - Autenticação bem-sucedida!
16:44:26.815 [AWT-EventQueue-0] INFO  com.gsmart.pipeline.PipelineManager - Recebida ordem para lançar pipeline: ThingsBoard (Device: 06e109e0-e8ff-11ee-bb8b-2563c61db9b0)
16:44:26.850 [AWT-EventQueue-0] INFO  com.gsmart.pipeline.PipelineManager - Pipeline para 'ThingsBoard (Device: 06e109e0-e8ff-11ee-bb8b-2563c61db9b0)' iniciada em segundo plano.
16:44:26.851 [Thread-0] INFO  com.gsmart.pipeline.DataPipeline - 🚀 INICIANDO PIPELINE GENÉRICA COM FONTE: ThingsBoard (Device: 06e109e0-e8ff-11ee-bb8b-2563c61db9b0) 🚀
16:44:26.857 [Thread-0] INFO  com.gsmart.pipeline.DataPipeline - Execução da lógica de negócio: DESATIVADA
16:44:26.858 [Thread-0] INFO  com.gsmart.pipeline.DataPipeline - --- Iniciando novo ciclo de processamento em 2025-07-02T16:44:26.8581099-03:00 ---
16:44:26.859 [Thread-0] INFO  com.gsmart.pipeline.DataPipeline - [ETAPA 1/3] Buscando dados da fonte...
16:44:33.566 [Thread-0] INFO  com.gsmart.pipeline.DataPipeline - --- Iniciando novo ciclo de processamento em 2025-07-02T16:44:33.5668418-03:00 ---
16:44:33.566 [Thread-0] INFO  com.gsmart.pipeline.DataPipeline - [ETAPA 1/3] Buscando dados da fonte...
16:44:39.117 [Thread-0] INFO  com.gsmart.pipeline.DataPipeline - --- Iniciando novo ciclo de processamento em 2025-07-02T16:44:39.1178527-03:00 ---
16:44:39.117 [Thread-0] INFO  com.gsmart.pipeline.DataPipeline - [ETAPA 1/3] Buscando dados da fonte...
16:44:44.652 [Thread-0] INFO  com.gsmart.pipeline.DataPipeline - --- Iniciando novo ciclo de processamento em 2025-07-02T16:44:44.6528553-03:00 ---
16:44:44.652 [Thread-0] INFO  com.gsmart.pipeline.DataPipeline - [ETAPA 1/3] Buscando dados da fonte...
16:44:54.676 [Thread-0] ERROR com.gsmart.pipeline.DataPipeline - Falha na pipeline: Connect timed out
16:44:54.677 [Thread-0] INFO  c.gsmart.sources.ThingsBoardSource - Token de autenticação do ThingsBoard foi limpo devido a uma falha de conexão.
16:44:54.685 [Thread-0] INFO  ReconnectionLogger - CONEXÃO PERDIDA - Pipeline: ThingsBoard (Device: 06e109e0-e8ff-11ee-bb8b-2563c61db9b0)
16:44:59.688 [Thread-0] INFO  com.gsmart.pipeline.DataPipeline - Tentando reconectar...
16:44:59.688 [Thread-0] INFO  c.gsmart.sources.ThingsBoardSource - Autenticando no ThingsBoard em http://10.8.0.5:8080...
16:45:09.412 [AWT-EventQueue-0] INFO  com.gsmart.pipeline.DataPipeline - Sinal de reconexão manual recebido.
16:45:09.691 [Thread-0] ERROR com.gsmart.pipeline.DataPipeline - Tentativa de reconexão falhou: Connect timed out
16:45:09.691 [Thread-0] INFO  ReconnectionLogger - CONEXÃO PERDIDA - Pipeline: ThingsBoard (Device: 06e109e0-e8ff-11ee-bb8b-2563c61db9b0)
16:45:09.691 [Thread-0] INFO  com.gsmart.pipeline.DataPipeline - Iniciando tentativa de reconexão manual imediata...
16:45:09.692 [Thread-0] INFO  com.gsmart.pipeline.DataPipeline - Tentando reconectar...
16:45:09.692 [Thread-0] INFO  c.gsmart.sources.ThingsBoardSource - Autenticando no ThingsBoard em http://10.8.0.5:8080...
16:45:19.693 [Thread-0] ERROR com.gsmart.pipeline.DataPipeline - Tentativa de reconexão falhou: Connect timed out
16:45:19.693 [Thread-0] INFO  ReconnectionLogger - CONEXÃO PERDIDA - Pipeline: ThingsBoard (Device: 06e109e0-e8ff-11ee-bb8b-2563c61db9b0)
16:45:23.044 [AWT-EventQueue-0] INFO  com.gsmart.pipeline.DataPipeline - Sinal de reconexão manual recebido.
16:45:24.698 [Thread-0] INFO  com.gsmart.pipeline.DataPipeline - Tentando reconectar...
